City,State,Emergency_Phone,Hospital_Name,Type,Ambulance,Police,Fire
Chennai,Tamil Nadu,044-25305000,Rajiv Gandhi Government General Hospital,Government,108,100,101
Madurai,Tamil Nadu,0452-2532535,Government Rajaji Hospital,Government,108,100,101
Coimbatore,Tamil Nadu,0422-2301393,Coimbatore Medical College Hospital,Government,108,100,101
Tiruchirappalli,Tamil Nadu,0431-2415053,Mahatma Gandhi Memorial GH,Government,108,100,101
Salem,Tamil Nadu,0427-2215955,Government Mohan Kumaramangalam MCH,Government,108,100,101
Tirunelveli,Tamil Nadu,0462-2572768,Tirunelveli Medical College Hospital,Government,108,100,101
Erode,Tamil Nadu,0424-2225590,Government Erode Medical College,Government,108,100,101
Vellore,Tamil Nadu,0416-2232102,Government Vellore Medical College,Government,108,100,101
Thanjavur,Tamil Nadu,04362-231901,Thanjavur Medical College Hospital,Government,108,100,101
Dindigul,Tamil Nadu,0451-2420034,Government Hospital Dindigul,Government,108,100,101
Kancheepuram,Tamil Nadu,044-27222255,Government Hospital Kancheepuram,Government,108,100,101
Cuddalore,Tamil Nadu,04142-238444,Government Hospital Cuddalore,Government,108,100,101
Tiruvannamalai,Tamil Nadu,04175-222145,Government Hospital Tiruvannamalai,Government,108,100,101
Nagapattinam,Tamil Nadu,04365-248050,Government Hospital Nagapattinam,Government,108,100,101
Villupuram,Tamil Nadu,04146-222345,Government Hospital Villupuram,Government,108,100,101
Thoothukudi,Tamil Nadu,0461-2320700,Government Hospital Thoothukudi,Government,108,100,101
Karur,Tamil Nadu,04324-262233,Government Hospital Karur,Government,108,100,101
Namakkal,Tamil Nadu,04286-282233,Government Hospital Namakkal,Government,108,100,101
Sivaganga,Tamil Nadu,04575-241431,Government Hospital Sivaganga,Government,108,100,101
Pudukkottai,Tamil Nadu,04322-220253,Government Hospital Pudukkottai,Government,108,100,101
Ramanathapuram,Tamil Nadu,04567-224455,Government Hospital Ramanathapuram,Government,108,100,101
Virudhunagar,Tamil Nadu,04562-262345,Government Hospital Virudhunagar,Government,108,100,101
Theni,Tamil Nadu,04546-252345,Government Hospital Theni,Government,108,100,101
Krishnagiri,Tamil Nadu,04343-232444,Government Hospital Krishnagiri,Government,108,100,101
Dharmapuri,Tamil Nadu,04342-264355,Government Hospital Dharmapuri,Government,108,100,101
Perambalur,Tamil Nadu,04328-222345,Government Hospital Perambalur,Government,108,100,101
Ariyalur,Tamil Nadu,04329-222255,Government Hospital Ariyalur,Government,108,100,101
Tiruppur,Tamil Nadu,0421-2201456,Government Hospital Tiruppur,Government,108,100,101
Nilgiris,Tamil Nadu,0423-2444233,Government Hospital Ooty,Government,108,100,101
Tenkasi,Tamil Nadu,04633-271233,Government Hospital Tenkasi,Government,108,100,101
Kallakurichi,Tamil Nadu,04151-222277,Government Hospital Kallakurichi,Government,108,100,101
Ranipet,Tamil Nadu,04172-222188,Government Hospital Ranipet,Government,108,100,101
Tirupattur,Tamil Nadu,04179-222166,Government Hospital Tirupattur,Government,108,100,101
Chengalpattu,Tamil Nadu,044-27422233,Government Hospital Chengalpattu,Government,108,100,101
Mayiladuthurai,Tamil Nadu,04364-222555,Government Hospital Mayiladuthurai,Government,108,100,101
Nagercoil,Tamil Nadu,04652-232323,Government Hospital Nagercoil,Government,108,100,101
Hosur,Tamil Nadu,04344-232500,Government Hospital Hosur,Government,108,100,101
Kumbakonam,Tamil Nadu,0435-2400567,Government Hospital Kumbakonam,Government,108,100,101
Bangalore,Karnataka,080-26661460,Victoria Hospital,Government,108,100,101
Mysore,Karnataka,0821-2520512,K.R. Hospital,Government,108,100,101
Hubli,Karnataka,0836-2262154,KIMS Hubli,Government,108,100,101
Mangalore,Karnataka,0824-2423000,Government Wenlock Hospital,Government,108,100,101
